Identifier,Title,Implementation Applicable (Y/N),Non Applicability Rationale,Description from ISM
ISM-0732,CISO manages dedicated cyber budget,N,,The CISO receives and manages a dedicated cyber security budget for their organisation.
ISM-0717,CISO manages cyber personnel,N,,The CISO oversees the management of cyber security personnel within their organisation.
ISM-2020,CISO ensures sufficient cyber staffing,N,,"The CISO ensures sufficient cyber security personnel, with the right skills and experience, are acquired to support cyber security activities within their organisation."
ISM-0735,CISO oversees cyber awareness training program,N,,"The CISO oversees the development, implementation and maintenance of their organisation’s cyber security awareness training program."
ISM-1071,Each system has an owner,Y,,Each system has a designated system owner.
ISM-1525,System owners register systems with authorising officer,Y,,System owners register each system with its authorising officer.
ISM-1633,"System owners define boundary, criticality and objectives for systems",Y,,"System owners, in consultation with each system’s authorising officer, determine the system boundary, business criticality and security objectives for each system based on an assessment of the impact if it were to be compromised."
ISM-1203,System owners conduct system threat & risk assessment,Y,,"System owners, in consultation with each system’s authorising officer, conduct a threat and risk assessment for each system."
ISM-1634,System owners select and tailor controls,Y,,"System owners, in consultation with each system’s authorising officer, select controls for each system and tailor them to achieve desired security objectives."
ISM-0009,System owners identify supplementary controls,Y,,"System owners, in consultation with each system’s authorising officer, identify any supplementary controls required based upon the unique nature of each system, its operating environment and the organisation’s risk tolerances."
ISM-1635,System owners implement system controls,Y,,System owners implement controls for each system and its operating environment.
ISM-1636,Systems (non-TS) undergo security assessment by IRAP/org assessors,Y,,"System owners, in consultation with each system’s authorising officer, ensure controls for each non-classified, OFFICIAL: Sensitive, PROTECTED and SECRET system and its operating environment undergo a security assessment by their organisation’s own assessors or Infosec Registered Assessor Program (IRAP) assessors to determine if they have been implemented correctly and are operating as intended."
ISM-1967,TOP SECRET systems assessed by ASD assessors,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"System owners, in consultation with each system’s authorising officer, ensure controls for each TOP SECRET system and its operating environment, including each sensitive compartmented information system and its operating environment, undergo a security assessment by ASD assessors (or their delegates) to determine if they have been implemented correctly and are operating as intended."
ISM-0027,System owners obtain authorisation to operate (non-TS),Y,,"System owners obtain authorisation to operate each non-classified, OFFICIAL: Sensitive, PROTECTED and SECRET system from its authorising officer based on the acceptance of the security risks associated with its operation."
ISM-1968,Authorisation from Director-General ASD to operate TOP SECRET systems,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"System owners obtain authorisation to operate each TOP SECRET system, including each sensitive compartmented information system, from Director-General ASD (or their delegate) based on the acceptance of the security risks associated with its operation."
ISM-1526,System owners continuously monitor systems,Y,,"System owners monitor each system, and associated cyber threats, security risks and controls, on an ongoing basis."
ISM-2021,System owners implement data minimisation,Y,,System owners implement and maintain data minimisation practices for each of their systems.
ISM-1587,System owners report security status at least annually,Y,,System owners report the security status of each system to its authorising officer at least annually.
ISM-0576,Incident management policy and response plan maintained,Y,,"A cyber security incident management policy, and associated cyber security incident response plan, is developed, implemented and maintained."
ISM-1784,Incident management and response plan exercised at least annually,Y,,"The cyber security incident management policy, including the associated cyber security incident response plan, is exercised at least annually."
ISM-0125,Cyber incident register maintained,Y,,"A cyber security incident register is developed, implemented and maintained."
ISM-1803,Incident register records key incident details,Y,,"A cyber security incident register contains the following for each cyber security incident:
• the date the cyber security incident occurred
• the date the cyber security incident was discovered
• a description of the cyber security incident
• any actions taken in response to the cyber security incident
• to whom the cyber security incident was reported."
ISM-1625,Insider threat mitigation program maintained,Y,,"An insider threat mitigation program is developed, implemented and maintained."
ISM-1626,Legal advice sought for insider threat mitigation program,Y,,Legal advice is sought regarding the development and implementation of an insider threat mitigation program.
ISM-0120,Cyber personnel have adequate monitoring data/tools,Y,,Cyber security personnel have access to sufficient data sources and tools to ensure that systems can be monitored for key indicators of compromise.
ISM-0123,Incidents reported to CISO promptly,Y,,"Cyber security incidents are reported to the chief information security officer, or one of their delegates, as soon as possible after they occur or are discovered."
ISM-0140,Incidents reported to ASD promptly,Y,,Cyber security incidents are reported to ASD as soon as possible after they occur or are discovered.
ISM-1880,Customer-data incidents reported to customers/public,Y,,Cyber security incidents that involve customer data are reported to customers and the public in a timely manner after they occur or are discovered.
ISM-1881,Non-customer-data incidents reported to customers/public,Y,,Cyber security incidents that do not involve customer data are reported to customers and the public in a timely manner after they occur or are discovered.
ISM-1819,Incident response plan enacted after identification,Y,,"Following the identification of a cyber security incident, the cyber security incident response plan is enacted."
ISM-0133,Data owners advised and access restricted after data spill,Y,,"When a data spill occurs, data owners are advised and access to the data is restricted."
ISM-0917,Malicious code handling and remediation steps,Y,,"When malicious code is detected, the following steps are taken to handle the infection:
• the infected systems are isolated
• all previously connected media used in the period leading up to the infection are scanned for signs of infection and isolated if necessary
• antivirus applications are used to remove the infection from infected systems and media
• if the infection cannot be reliably removed, systems are restored from a known good backup or rebuilt."
ISM-1969,Stored/communicated malicious code treated before use,Y,,"Malicious code, when stored or communicated, is treated beforehand to prevent accidental execution."
ISM-1970,Malicious code analysed in segregated environment,Y,,Malicious code processed for cyber security incident response or research purposes is done so in a dedicated analysis environment that is segregated from other systems.
ISM-0137,Legal advice before allowing intrusion activity to continue,Y,,Legal advice is sought before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.
ISM-1609,System owners consulted before allowing intrusion activity to continue,Y,,System owners are consulted before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.
ISM-1731,Out-of-Band Intrusion Remediation Planning,Y,,Planning and coordination of intrusion remediation activities are conducted on a separate system to that which has been compromised.
ISM-1732,Coordinate all intrusion remediation during planned outage,Y,,"To the extent possible, all intrusion remediation activities are conducted in a coordinated manner during the same planned outage."
ISM-1213,Post-remediation full network traffic capture & analysis,Y,,"Following intrusion remediation activities, full network traffic is captured for at least seven days and analysed to determine whether malicious actors have been successfully removed from the system."
ISM-0138,Investigators maintain evidence integrity,Y,,"The integrity of evidence gathered during an investigation is maintained by investigators:
• recording all of their actions
• maintaining a proper chain of custody
• following all instructions provided by relevant law enforcement agencies."
ISM-1631,Suppliers of systems and services identified,Y,,"Suppliers of operating systems, applications, IT equipment, OT equipment and services associated with systems are identified."
ISM-1452,Supplier supply chain risk assessment performed,Y,,"A supply chain risk assessment is performed for suppliers of operating systems, applications, IT equipment, OT equipment and services in order to assess the impact to a system’s security risk profile."
ISM-1567,High-risk suppliers not used,Y,,Suppliers identified as high risk by a cyber supply chain risk assessment are not used.
ISM-1568,Procure from security-focused suppliers,Y,,"Operating systems, applications, IT equipment, OT equipment and services are procured from suppliers that have demonstrated a commitment to the security of their products and services."
ISM-1882,Procure from suppliers demonstrating transparency,Y,,"Operating systems, applications, IT equipment, OT equipment and services are procured from suppliers that have demonstrated a commitment to transparency for their products and services."
ISM-1632,Procure from suppliers with strong systems security track record,Y,,"Operating systems, applications, IT equipment, OT equipment and services are procured from suppliers that have a strong track record of maintaining the security of their own systems."
ISM-1569,Create shared responsibility model with suppliers,Y,,"A shared responsibility model is created, documented and shared between suppliers and their customers in order to articulate the security responsibilities of each party."
ISM-1785,Supplier relationship management policy maintained,Y,,"A supplier relationship management policy is developed, implemented and maintained."
ISM-1786,Approved supplier list maintained,Y,,"An approved supplier list is developed, implemented and maintained."
ISM-1787,Source from approved suppliers,Y,,"Operating systems, applications, IT equipment, OT equipment and services are sourced from approved suppliers."
ISM-1788,Identify multiple suppliers for critical systems,Y,,"Multiple potential suppliers are identified for sourcing critical operating systems, applications, IT equipment, OT equipment and services."
ISM-1789,Keep spares of critical IT/OT equipment,Y,,Sufficient spares of critical IT equipment and OT equipment are sourced and kept in reserve.
ISM-1790,Supplies delivered maintaining integrity,Y,,"Operating systems, applications, IT equipment, OT equipment and services are delivered in a manner that maintains their integrity."
ISM-1791,Assess integrity during product acceptance,Y,,"The integrity of operating systems, applications, IT equipment, OT equipment and services are assessed as part of acceptance of products and services."
ISM-1792,Assess authenticity during product acceptance,Y,,"The authenticity of operating systems, applications, IT equipment, OT equipment and services are assessed as part of acceptance of products and services."
ISM-1736,Managed service register maintained,Y,,"A managed service register is developed, implemented, maintained and verified on a regular basis."
ISM-1737,Managed service register contains required details,Y,,"A managed service register contains the following for each managed service:
• managed service provider’s name
• managed service’s name
• purpose for using the managed service
• sensitivity or classification of data involved
• due date for the next security assessment of the managed service
• contractual arrangements for the managed service
• point of contact for users of the managed service
• 24/7 contact details for the managed service provider."
ISM-1793,Managed services undergo IRAP assessment at least every 24 months,Y,,"Managed service providers and their non-classified, OFFICIAL: Sensitive, PROTECTED and SECRET managed services undergo an Infosec Registered Assessor Program (IRAP) assessment, using the latest release of the ISM available prior to the beginning of the IRAP assessment (or a subsequent release), at least every 24 months."
ISM-1971,TOP SECRET managed services assessed by ASD at least every 24 months,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"Managed service providers and their TOP SECRET managed services, including sensitive compartmented information managed services, undergo a security assessment by ASD assessors (or their delegates), using the latest release of the ISM available prior to the beginning of the security assessment (or a subsequent release), at least every 24 months."
ISM-1637,Outsourced cloud service register maintained,Y,,"An outsourced cloud service register is developed, implemented, maintained and verified on a regular basis."
ISM-1638,Cloud register contains required cloud service details,Y,,"An outsourced cloud service register contains the following for each outsourced cloud service:
• cloud service provider’s name
• cloud service’s name
• purpose for using the cloud service
• sensitivity or classification of data involved
• due date for the next security assessment of the cloud service
• contractual arrangements for the cloud service
• point of contact for users of the cloud service
• 24/7 contact details for the cloud service provider."
ISM-1529,Use private/community clouds for SECRET/TOP SECRET,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,Only community or private clouds are used for outsourced SECRET and TOP SECRET cloud services.
ISM-1570,Cloud service providers and their services undergo IRAP assessment at least every 24 months,Y,,"Outsourced cloud service providers and their non-classified, OFFICIAL: Sensitive, PROTECTED and SECRET cloud services undergo an IRAP assessment, using the latest release of the ISM available prior to the beginning of the IRAP assessment (or a subsequent release), at least every 24 months."
ISM-1972,TOP SECRET cloud services assessed by ASD at least every 24 months,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"Outsourced cloud service providers and their TOP SECRET cloud services, including sensitive compartmented information cloud services, undergo a security assessment by ASD assessors (or their delegates), using the latest release of the ISM available prior to the beginning of the security assessment (or a subsequent release), at least every 24 months."
ISM-1395,Service providers protect entrusted data,N,,"Service providers, including any subcontractors, provide an appropriate level of protection for any data entrusted to them or their services."
ISM-0072,Security requirements documented in provider contracts,Y,,"Security requirements associated with the confidentiality, integrity and availability of data are documented in contractual arrangements with service providers and reviewed on a regular and ongoing basis to ensure they remain fit for purpose."
ISM-1571,Right to verify compliance documented in provider contracts,Y,,The right to verify compliance with security requirements is documented in contractual arrangements with service providers.
ISM-1738,Right to verify compliance exercised regularly,Y,,The right to verify compliance with security requirements documented in contractual arrangements with service providers is exercised on a regular and ongoing basis.
ISM-1804,Break clauses for security requirement failures in provider contracts,Y,,Break clauses associated with failure to meet security requirements are documented in contractual arrangements with service providers.
ISM-0141,Providers must report cyber incidents to designated contact,Y,,The requirement for service providers to report cyber security incidents to a designated point of contact as soon as possible after they occur or are discovered is documented in contractual arrangements with service providers.
ISM-1794,One-month notification period for provider changes,Y,,A minimum notification period of one month by service providers for significant changes to their own service provider arrangements is documented in contractual arrangements with service providers.
ISM-1451,Data types and ownership documented in provider contracts,Y,,Types of data and its ownership is documented in contractual arrangements with service providers.
ISM-1572,Regions/availability zones and change notification period documented,Y,,"The regions or availability zones where data will be processed, stored and communicated, as well as a minimum notification period for any configuration changes, is documented in contractual arrangements with service providers."
ISM-1573,Access to logs documented in contracts,Y,,Access to all logs relating to an organisation’s data and services is documented in contractual arrangements with service providers.
ISM-1574,Portable storage and backup/migration documented in contracts,Y,,"The storage of data in a portable manner that allows for backups, service migration and service decommissioning without any loss of data is documented in contractual arrangements with service providers."
ISM-1575,One-month notification for service cessation documented,Y,,A minimum notification period of one month for the cessation of any services by a service provider is documented in contractual arrangements with service providers.
ISM-1073,Service providers only access systems under contract,Y,,An organisation’s systems are not accessed or administered by a service provider unless a contractual arrangement exists between the organisation and the service provider to do so.
ISM-1576,Immediate notification for unauthorised provider access,Y,,"If an organisation’s systems are accessed or administered by a service provider in an unauthorised manner, the organisation is immediately notified."
ISM-0039,Cyber security strategy maintained,Y,,"A cyber security strategy is developed, implemented and maintained."
ISM-0047,CISO approves organisation-level cyber docs; AO approves system-specific cyber docs,Y,,Organisational-level cyber security documentation is approved by the chief information security officer while system-specific cyber security documentation is approved by the system’s authorising officer.
ISM-1739,System security architecture approved pre-development,Y,,A system’s security architecture is approved prior to the development of the system.
ISM-0888,Cyber documentation reviewed at least annually,Y,,Cyber security documentation is reviewed at least annually and includes a ‘current as at [date]’ or equivalent statement.
ISM-1602,Cyber docs and changes communicated to all stakeholders,Y,,"Cyber security documentation, including notification of subsequent changes, is communicated to all stakeholders."
ISM-0041,System security plan includes system overview and controls annex,Y,,"Systems have a system security plan that includes an overview of the system (covering the system’s purpose, the system boundary and how the system is managed) as well as an annex that covers applicable controls from this document and any additional controls that have been identified and implemented."
ISM-0043,System cyber incident response plan contains required elements,Y,,"Systems have a cyber security incident response plan that covers the following:
• guidelines on what constitutes a cyber security incident
• the types of cyber security incidents likely to be encountered and the expected response to each type
• how to report cyber security incidents, internally to an organisation and externally to relevant authorities
• other parties which need to be informed in the event of a cyber security incident
• the authority, or authorities, responsible for investigating and responding to cyber security incidents
• the criteria by which an investigation of a cyber security incident would be requested from a law enforcement agency, the Australian Signals Directorate or other relevant authority
• the steps necessary to ensure the integrity of evidence relating to a cyber security incident
• system contingency measures or a reference to such details if they are located in a separate document."
ISM-0912,Change & configuration management plan contains required elements,Y,,"Systems have a change and configuration management plan that includes:
• the establishment and maintenance of authorised baseline configurations for systems
• what constitutes routine and urgent changes to the configuration of systems
• how changes to the configuration of systems will be requested, tracked and documented
• who needs to be consulted prior to routine and urgent changes to the configuration of systems
• who needs to approve routine and urgent changes to the configuration of systems
• who needs to be notified of routine and urgent changes to the configuration of systems
• what additional change management and configuration management processes and procedures need to be followed before, during and after routine and urgent changes to the configuration of systems."
ISM-1163,Continuous monitoring plan with scanning and testing requirements,Y,,"Systems have a continuous monitoring plan that includes:
• conducting vulnerability scans for systems at least fortnightly
• conducting vulnerability assessments and penetration tests for systems prior to deployment, including prior to deployment of significant changes, and at least annually thereafter
• analysing identified vulnerabilities to determine their potential impact
• implementing mitigations based on risk, effectiveness and cost."
ISM-1563,Security assessment report produced after assessment,Y,,"At the conclusion of a security assessment for a system, a security assessment report is produced by the assessor and covers:
• the scope of the security assessment
• the system’s strengths and weaknesses
• security risks associated with the operation of the system
• the effectiveness of the implementation of controls
• any recommended remediation actions."
ISM-1564,Plan of action and milestones produced after assessment,Y,,"At the conclusion of a security assessment for a system, a plan of action and milestones is produced by the system owner."
ISM-1973,Non-classified systems secured in suitable facilities,N,Protected classification; Control only applicable to Non-classified,Non-classified systems are secured in suitably secure facilities.
ISM-0810,Classified systems secured in suitable security-zone facilities,Y,,Classified systems are secured in facilities that meet the requirements for a security zone suitable for their classification.
ISM-1974,Non-classified IT and cryptographic equipment secured in rooms,N,Protected classification; Control only applicable to Non-classified,"Non-classified servers, network devices and cryptographic equipment are secured in suitably secure server rooms or communications rooms."
ISM-1053,Classified IT and cryptographic equipment secured in rooms,N,Protected classification; Control only applicable to Non-classified,"Classified servers, network devices and cryptographic equipment are secured in server rooms or communications rooms that meet the requirements for a security zone suitable for their classification."
ISM-1975,Non-classified IT and cryptographic equipment secured in containers,N,,"Non-classified servers, network devices and cryptographic equipment are secured in suitably secure security containers."
ISM-1530,Classified IT and cryptographic equipment secured in containers,Y,,"Classified servers, network devices and cryptographic equipment are secured in security containers suitable for their classification taking into account the combination of security zones they reside in."
ISM-0813,Server/communications rooms not left unsecured,Y,,"Server rooms, communications rooms and security containers are not left in unsecured states."
ISM-1074,Keys to secure rooms appropriately controlled,Y,,"Keys or equivalent access mechanisms to server rooms, communications rooms and security containers are appropriately controlled."
ISM-1296,Physical security protects network devices in public areas,Y,,Physical security is implemented to protect network devices in public areas from physical damage or unauthorised access.
ISM-1543,Authorised RF/IR device register for SECRET/TOP SECRET areas maintained,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"An authorised RF and IR device register for SECRET and TOP SECRET areas is developed, implemented, maintained and verified on a regular basis."
ISM-0225,Unauthorised RF/IR devices banned in SECRET/TOP SECRET areas,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,Unauthorised RF and IR devices are not brought into SECRET and TOP SECRET areas.
ISM-0829,Detect/respond to unauthorised RF devices in SECRET/TOP SECRET areas,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,Security measures are used to detect and respond to unauthorised RF devices in SECRET and TOP SECRET areas.
ISM-2069,Authorised photo/video device register maintained for SECRET/TOP SECRET areas,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"An authorised photographic and video recording device register for SECRET and TOP SECRET areas is developed, implemented, maintained and verified on a regular basis."
ISM-2070,Unauthorised photo/video devices banned in SECRET/TOP SECRET areas,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,Unauthorised photographic and video recording devices are not brought into SECRET and TOP SECRET areas.
ISM-2007,Authorised medical device register maintained for SECRET/TOP SECRET areas,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"An authorised medical device register for SECRET and TOP SECRET areas is developed, implemented, maintained and verified on a regular basis."
ISM-2008,Criteria for authorised medical devices in SECRET/TOP SECRET areas,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"Medical devices that are authorised to be brought into SECRET and TOP SECRET areas meet, at a minimum, the following criteria:
• are listed on the Australian Register of Therapeutic Goods
• have been prescribed by a legally qualified medical practitioner
• have been commercially purchased within Australia
• do not have inbuilt cellular connectivity
• are capable of operating independently of mobile devices
• where possible, have Wi-Fi, Bluetooth and other forms of wireless connectivity disabled when operating within SECRET and TOP SECRET areas."
ISM-2009,Unauthorised medical devices banned in SECRET/TOP SECRET areas,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,Unauthorised medical devices are not brought into SECRET and TOP SECRET areas.
ISM-0164,Prevent unauthorised observation of systems/displays,Y,,"Unauthorised people are prevented from observing systems, in particular workstation displays and keyboards, within facilities."
ISM-0161,Secure IT equipment and media when not in use,Y,,IT equipment and media are secured when not in use.
ISM-0252,Annual cyber awareness training for all personnel,N,,"Cyber security awareness training is undertaken annually by all personnel and covers:
• the purpose of the cyber security awareness training
• security appointments and contacts
• authorised use of systems and their resources
• protection of systems and their resources
• reporting of cyber security incidents and suspected compromises of systems and their resources."
ISM-1565,Annual privileged user training,N,,Tailored privileged user training is undertaken annually by all privileged users.
ISM-2022,Cyber awareness training register maintained,N,,"A cyber security awareness training register is developed, implemented and maintained."
ISM-1740,Banking/payment staff trained on business email compromise,N,,"Personnel dealing with banking details and payment requests are advised of what business email compromise is, how to manage such situations and how to report it."
ISM-2071,User-account staff trained on social engineering,N,,"Personnel dealing with user account details are advised of what social engineering attacks are, how to manage such situations and how to report them."
ISM-0817,Personnel trained to report suspicious online contact,N,,Personnel are advised of what suspicious contact via online services is and how to report it.
ISM-0820,Personnel avoid posting work info to unauthorised services,N,,Personnel are advised to not post work information to unauthorised online services and to report cases where such information is posted.
ISM-1146,Personnel maintain separate work and personal accounts,N,,Personnel are advised to maintain separate work and personal user accounts for online services.
ISM-0821,Personnel advised on personal info posting risks,N,,Personnel are advised of security risks associated with posting personal information to online services and are encouraged to use any available privacy settings to restrict who can view such information.
ISM-0824,Personnel not to send/receive files via unauthorised services,N,,Personnel are advised not to send or receive files via unauthorised online services.
ISM-1864,System usage policy maintained,Y,,"A system usage policy is developed, implemented and maintained."
ISM-2074,AI usage policy maintained,Y,,"A general-purpose artificial intelligence usage policy is developed, implemented and maintained."
ISM-0258,Web usage policy maintained,Y,,"A web usage policy is developed, implemented and maintained."
ISM-0432,Access requirements documented in system security plan,Y,,Access requirements for systems and their resources are documented in their system security plan.
ISM-0434,Employment screening and clearances before granting access,Y,,"Personnel undergo appropriate employment screening and, where necessary, hold an appropriate security clearance before being granted access to systems and their resources."
ISM-0435,Personnel briefed before access granted,Y,,Personnel receive any necessary briefings before being granted access to systems and their resources.
ISM-1865,Personnel agree to system usage policies before access,Y,,Personnel agree to abide by system usage policies before being granted access to systems and their resources.
ISM-0414,Personnel granted access are uniquely identifiable,Y,,Personnel granted access to systems and their resources are uniquely identifiable.
ISM-0415,Shared accounts strictly controlled and identifiable,Y,,"The use of shared user accounts is strictly controlled, and personnel using such accounts are uniquely identifiable."
ISM-1583,Contractor personnel identified as such,Y,,Personnel who are contractors are identified as such.
ISM-0420,Foreign nationals identified for certain sensitive data access,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"Where systems process, store or communicate AUSTEO, AGAO or REL data, personnel who are foreign nationals are identified as such, including by their specific nationality."
ISM-0405,Validate unprivileged access requests initially,Y,,Requests for unprivileged access to systems and their resources are validated when first requested.
ISM-1852,Limit unprivileged access to required duties,Y,,Unprivileged access to systems and their resources is limited to only what is required for users and services to undertake their duties.
ISM-1566,Log unprivileged access use centrally,Y,,Use of unprivileged access is centrally logged.
ISM-0409,Foreign nationals restricted from AUSTEO/REL systems without effective controls,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"Foreign nationals, including seconded foreign nationals, do not have access to systems that process, store or communicate AUSTEO or REL data unless effective controls are in place to ensure such data is not accessible to them."
ISM-0411,Foreign nationals restricted from AGAO systems without effective controls,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"Foreign nationals, excluding seconded foreign nationals, do not have access to systems that process, store or communicate AGAO data unless effective controls are in place to ensure such data is not accessible to them."
ISM-1507,Validate privileged access requests initially,Y,,Requests for privileged access to systems and their resources are validated when first requested.
ISM-1508,Limit privileged access to required duties,Y,,Privileged access to systems and their resources is limited to only what is required for users and services to undertake their duties.
ISM-1175,Privileged accounts prevented from internet/email unless authorised,Y,,"Privileged user accounts (excluding those explicitly authorised to access online services) are prevented from accessing the internet, email and web services."
ISM-1883,Privileged accounts with internet access strictly limited,Y,,Privileged user accounts explicitly authorised to access online services are strictly limited to only what is required for users and services to undertake their duties.
ISM-1649,Use just-in-time administration for system administration,Y,,Just-in-time administration is used for the administration of systems and their resources.
ISM-0445,Privileged users assigned dedicated privileged accounts,Y,,Privileged users are assigned a dedicated privileged user account to be used solely for duties requiring privileged access.
ISM-1263,Unique privileged accounts used for server app administration,Y,,Unique privileged user accounts are used for administering individual server applications.
ISM-1509,Privileged access events centrally logged,Y,,Privileged access events are centrally logged.
ISM-1650,Privileged account/group management events centrally logged,Y,,Privileged user account and security group management events are centrally logged.
ISM-0446,Foreign nationals restricted from privileged access to AUSTEO/REL,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"Foreign nationals, including seconded foreign nationals, do not have privileged access to systems that process, store or communicate AUSTEO or REL data."
ISM-0447,Foreign nationals restricted from privileged access to AGAO,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"Foreign nationals, excluding seconded foreign nationals, do not have privileged access to systems that process, store or communicate AGAO data."
ISM-0430,Same day removal/suspension of access when no longer required,Y,,Access to systems and their resources are removed or suspended the same day personnel no longer have a legitimate requirement for access.
ISM-1591,Remove/suspend access when malicious activity detected,Y,,Access to systems and their resources are removed or suspended as soon as practicable when personnel are detected undertaking malicious activities.
ISM-1404,Disable unprivileged access after 45 days inactivity,Y,,Unprivileged access to systems and their resources are disabled after 45 days of inactivity.
ISM-1648,Disable privileged access after 45 days inactivity,Y,,Privileged access to systems and their resources are disabled after 45 days of inactivity.
ISM-1647,Disable privileged access after 12 months unless revalidated,Y,,Privileged access to systems and their resources are disabled after 12 months unless revalidated.
ISM-0407,Maintain secure user access record for the life of system and resources,Y,,"A secure record is maintained for the life of systems and their resources that covers the following for each user:
• their user identification
• their signed agreement to abide by system usage policies
• who authorised their access
• when their access was granted
• the level of access they were granted
• when their access, and their level of access, was last reviewed
• when their level of access was changed, and to what extent (if applicable)
• when their access was withdrawn (if applicable)."
ISM-0441,Temporary access to required data restricted by controls,Y,,"When personnel are granted temporary access to systems and their resources, effective controls are put in place to restrict their access to only data required for them to undertake their duties."
ISM-0443,Temporary access not granted for caveated/sensitive compartmented info,N,Protected classification; Control only applicable to SECRET and TOP SECRET classifications,"Temporary access is not granted to systems that process, store or communicate caveated or sensitive compartmented information."
